id,unique_id,name,latitude,longitude,total_lines,fare_zones
1,940GZZLUACT,Acton Town,51.5028,-0.2801,2,3
2,940GZZLUALD,Aldgate,51.5143,-0.0755,2,1
3,940GZZLUADE,Aldgate East,51.5154,-0.0726,2,1
4,940GZZDLALL,All Saints,51.5107,-0.013,1,2
5,940GZZLUALP,Alperton,51.5407,-0.2997,1,4
6,HUBAMR,Amersham,51.6736,-0.607,1,9
7,940GZZLUAGL,Angel,51.5322,-0.1058,1,1
8,940GZZLUACY,Archway,51.5653,-0.1353,1,2|3
9,940GZZLUASG,Arnos Grove,51.6164,-0.1331,1,4
10,940GZZLUASL,Arsenal,51.5586,-0.1059,1,2
11,940GZZLUBST,Baker Street,51.5226,-0.1571,5,1
12,HUBBAL,Balham,51.4431,-0.1525,1,3
13,HUBBAN,Bank,51.5133,-0.0886,4,1
14,940GZZLUBBN,Barbican,51.5204,-0.0979,3,1
15,HUBBKG,Barking,51.5396,0.081,2,4
16,940GZZLUBKE,Barkingside,51.5856,0.0887,1,4
17,940GZZLUBSC,Barons Court,51.4905,-0.2139,2,2
18,940GZZLUBWT,Bayswater,51.5121,-0.1879,2,1
19,940GZZDLBEC,Beckton,51.5148,0.0613,1,3
20,940GZZDLBPK,Beckton Park,51.5087,0.055,1,3
21,940GZZLUBEC,Becontree,51.5403,0.127,1,5
22,940GZZLUBZP,Belsize Park,51.5504,-0.1642,1,2
23,940GZZLUBMY,Bermondsey,51.4979,-0.0637,1,2
24,HUBBFR,Blackfriars,51.512,-0.1031,2,1
25,HUBBHO,Blackhorse Road,51.5867,-0.0417,1,3
26,940GZZDLBLA,Blackwall,51.5079,-0.0066,1,2
27,HUBBDS,Bond Street,51.5142,-0.1494,2,1
28,940GZZLUBOR,Borough,51.5011,-0.0943,1,1
29,940GZZLUBOS,Boston Manor,51.4956,-0.325,1,4
30,940GZZLUBDS,Bounds Green,51.6071,-0.1243,1,3|4
31,940GZZDLBOW,Bow Church,51.5273,-0.0208,3,2
32,940GZZLUBWR,Bow Road,51.5269,-0.0247,2,2
33,940GZZLUBTX,Brent Cross,51.5766,-0.2136,1,3
34,HUBBRX,Brixton,51.4627,-0.1145,1,2
35,940GZZLUBBB,Bromley-by-Bow,51.5248,-0.0119,2,2|3
36,940GZZLUBKH,Buckhurst Hill,51.6266,0.0471,1,5
37,940GZZLUBTK,Burnt Oak,51.6028,-0.2641,1,4
38,940GZZLUCAR,Caledonian Road,51.5481,-0.1188,1,2
39,940GZZLUCTN,Camden Town,51.5392,-0.1426,1,2
40,HUBZCW,Canada Water,51.4982,-0.0502,2,2
41,HUBCAW,Canary Wharf,51.5051,-0.0209,2,2
42,HUBCAN,Canning Town,51.5147,0.0082,2,2|3
43,HUBCST,Cannon Street,51.5113,-0.0904,2,1
44,940GZZLUCPK,Canons Park,51.6078,-0.2947,1,5
45,HUBCFO,Chalfont & Latimer,51.6679,-0.561,1,8
46,940GZZLUCFM,Chalk Farm,51.5441,-0.1538,1,2
47,940GZZLUCHL,Chancery Lane,51.5185,-0.1111,1,1
48,HUBCHX,Charing Cross,51.508,-0.1247,2,1
49,940GZZLUCSM,Chesham,51.7052,-0.611,1,9
50,940GZZLUCWL,Chigwell,51.6177,0.0755,1,4
51,940GZZLUCWP,Chiswick Park,51.4946,-0.2678,1,3
52,HUBCLW,Chorleywood,51.6543,-0.5183,1,7
53,940GZZLUCPC,Clapham Common,51.4618,-0.1384,1,2
54,940GZZLUCPN,Clapham North,51.4649,-0.1299,1,2
55,940GZZLUCPS,Clapham South,51.4527,-0.148,1,2|3
56,940GZZLUCKS,Cockfosters,51.6517,-0.1496,1,5
57,940GZZLUCND,Colindale,51.5955,-0.2502,1,4
58,940GZZLUCSD,Colliers Wood,51.418,-0.1778,1,3
59,940GZZLUCGN,Covent Garden,51.5129,-0.1243,1,1
60,940GZZLUCXY,Croxley,51.647,-0.4412,1,7
61,940GZZDLCYP,Cyprus,51.5085,0.064,1,3
62,940GZZLUDGE,Dagenham East,51.5443,0.1655,1,5
63,940GZZLUDGY,Dagenham Heathway,51.5417,0.1469,1,5
64,940GZZLUDBN,Debden,51.6455,0.0838,1,6
