from_id,to_id,from_naptan,to_naptan,from_station,to_station,line_id,line,direction,line_direction,platform_direction
108,133,940GZZLUHAW,940GZZLUKEN,Harrow & Wealdstone,Kenton,1,Bakerloo,Inbound,SB,SB
133,221,940GZZLUKEN,940GZZLUSKT,Kenton,South Kenton,1,Bakerloo,Inbound,SB,SB
221,172,940GZZLUSKT,940GZZLUNWY,South Kenton,North Wembley,1,Bakerloo,Inbound,SB,SB
172,265,940GZZLUNWY,940GZZLUWYC,North Wembley,Wembley Central,1,Bakerloo,Inbound,SB,SB
265,233,940GZZLUWYC,940GZZLUSGP,Wembley Central,Stonebridge Park,1,Bakerloo,Inbound,SB,SB
233,107,940GZZLUSGP,940GZZLUHSN,Stonebridge Park,Harlesden,1,Bakerloo,Inbound,SB,SB
107,281,940GZZLUHSN,940GZZLUWJN,Harlesden,Willesden Junction,1,Bakerloo,Inbound,SB,SB
281,130,940GZZLUWJN,940GZZLUKSL,Willesden Junction,Kensal Green,1,Bakerloo,Inbound,SB,SB
136,151,940GZZLUKPK,940GZZLUMVL,Kilburn Park,Maida Vale,1,Bakerloo,Inbound,SB,SB
151,262,940GZZLUMVL,940GZZLUWKA,Maida Vale,Warwick Avenue,1,Bakerloo,Inbound,SB,SB
262,184,940GZZLUWKA,940GZZLUPAC,Warwick Avenue,Paddington,1,Bakerloo,Inbound,SB,SB
155,11,940GZZLUMYB,940GZZLUBST,Marylebone,Baker Street,1,Bakerloo,Inbound,SB,SB
11,202,940GZZLUBST,940GZZLURGP,Baker Street,Regent's Park,1,Bakerloo,Inbound,SB,SB
202,183,940GZZLURGP,940GZZLUOXC,Regent's Park,Oxford Circus,1,Bakerloo,Inbound,SB,SB
48,81,940GZZLUCHX,940GZZLUEMB,Charing Cross,Embankment,1,Bakerloo,Inbound,SB,SB
81,263,940GZZLUEMB,940GZZLUWLO,Embankment,Waterloo,1,Bakerloo,Inbound,SB,SB
263,140,940GZZLUWLO,940GZZLULBN,Waterloo,Lambeth North,1,Bakerloo,Inbound,SB,SB
140,78,940GZZLULBN,940GZZLUEAC,Lambeth North,Elephant & Castle,1,Bakerloo,Outbound,SB,SB
78,140,940GZZLUEAC,940GZZLULBN,Elephant & Castle,Lambeth North,1,Bakerloo,Outbound,NB,NB
140,263,940GZZLULBN,940GZZLUWLO,Lambeth North,Waterloo,1,Bakerloo,Outbound,NB,NB
263,81,940GZZLUWLO,940GZZLUEMB,Waterloo,Embankment,1,Bakerloo,Outbound,NB,NB
81,48,940GZZLUEMB,940GZZLUCHX,Embankment,Charing Cross,1,Bakerloo,Outbound,NB,NB
183,202,940GZZLUOXC,940GZZLURGP,Oxford Circus,Regent's Park,1,Bakerloo,Outbound,NB,NB
