from_id,to_id,from_name,to_name,line,time
11,163,Baker Street,Marylebone,1,1
11,212,Baker Street,Regent's Park,1,2
49,87,Charing Cross,Embankment,1,1
49,197,Charing Cross,Picadilly Circus,1,2
82,163,Edgware Road (B),Marylebone,1,2
82,193,Edgware Road (B),Paddington,1,3
84,148,Elephant & Castle,Lambeth North,1,3
87,279,Embankment,Waterloo,1,2
113,246,Harlesden,Stonebridge Park,1,2
113,298,Harlesden,Willesden Junction,1,2
114,140,Harrow & Wealdstone,Kenton,1,2
137,206,Kensal Green,Queen's Park,1,3
137,298,Kensal Green,Willesden Junction,1,3
140,237,Kenton,South Kenton,1,2
143,159,Kilburn Park,Maida Vale,1,2
143,206,Kilburn Park,Queen's Park,1,2
148,279,Lambeth North,Waterloo,1,1
159,278,Maida Vale,Warwick Avenue,1,1
185,237,North Wembley,South Kenton,1,2
185,281,North Wembley,Wembley Central,1,2
192,197,Oxford Circus,Picadilly Circus,1,2
192,212,Oxford Circus,Regent's Park,1,2
193,278,Paddington,Warwick Avenue,1,2
246,281,Stonebridge Park,Wembley Central,1,3
13,156,Bank,Liverpool Street,2,2
13,250,Bank,St. Paul's,2,2
16,91,Barkingside,Fairlop,2,2
16,173,Barkingside,Newbury Park,2,2
24,156,Bethnal Green,Liverpool Street,2,3
24,164,Bethnal Green,Mile End,2,2
28,162,Bond Street,Marble Arch,2,1
28,192,Bond Street,Oxford Circus,2,1
37,158,Buckhurst Hill,Loughton,2,3
37,301,Buckhurst Hill,Woodford,2,3
48,126,Chancery Lane,Holborn,2,1
48,250,Chancery Lane,St. Paul's,2,2
51,103,Chigwell,Grange Hill,2,2
51,215,Chigwell,Roding Valley,2,2
68,158,Debden,Loughton,2,2
68,256,Debden,Theydon Bois,2,3
72,286,Ealing Broadway,West Acton,2,3
76,181,East Acton,North Acton,2,2
76,296,East Acton,White City,2,3
88,256,Epping,Theydon Bois,2,2
91,109,Fairlop,Hainault,2,2
98,173,Gants Hill,Newbury Park,2,3
98,211,Gants Hill,Redbridge,2,2
103,109,Grange Hill,Hainault,2,3
105,177,Greenford,Northolt,2,2
105,196,Greenford,Perivale,2,2
112,181,Hanger Lane,North Acton,2,3
112,196,Hanger Lane,Perivale,2,2
126,259,Holborn,Tottenham Court Road,2,2
127,186,Holland Park,Notting Hill Gate,2,2
127,226,Holland Park,Shepherd's Bush (C),2,1
149,162,Lancaster Gate,Marble Arch,2,3
149,208,Lancaster Gate,Queensway,2,1
153,154,Leyton,Leytonstone,2,3
153,247,Leyton,Stratford,2,2
154,230,Leytonstone,Snaresbrook,2,2
154,275,Leytonstone,Wanstead,2,2
164,247,Mile End,Stratford,2,4
177,239,Northolt,South Ruislip,2,3
181,286,North Acton,West Acton,2,2
186,208,Notting Hill Gate,Queensway,2,2
192,259,Oxford Circus,Tottenham Court Road,2,2
211,275,Redbridge,Wanstead,2,2
215,301,Roding Valley,Woodford,2,3
221,239,Ruislip Gardens,South Ruislip,2,1
221,294,Ruislip Gardens,West Ruislip,2,3
226,296,Shepherd's Bush (C),White City,2,3
230,241,Snaresbrook,South Woodford,2,2
241,301,South Woodford,Woodford,2,2
2,156,Aldgate,Liverpool Street,3,2
2,263,Aldgate,Tower Hill,3,4
11,83,Baker Street,Edgware Road (C),3,3
11,104,Baker Street,Great Portland Street,3,3
14,92,Barbican,Farringdon,3,1
14,167,Barbican,Moorgate,3,2
18,186,Bayswater,Notting Hill Gate,3,2
18,193,Bayswater,Paddington,3,2
25,161,Blackfriars,Mansion House,3,1
25,255,Blackfriars,Temple,3,2
44,161,Cannon Street,Mansion House,3,1
44,166,Cannon Street,Monument,3,2
83,193,Edgware Road (C),Paddington,3,3
87,255,Embankment,Temple,3,2
87,285,Embankment,Westminster,3,2
90,104,Euston Square,Great Portland Street,3,2
90,145,Euston Square,King's Cross St. Pancras,3,2
92,145,Farringdon,King's Cross St. Pancras,3,4
99,122,Gloucester Road,High Street Kensington,3,4
99,236,Gloucester Road,South Kensington,3,1
122,186,High Street Kensington,Notting Hill Gate,3,3
156,167,Liverpool Street,Moorgate,3,2
166,263,Monument,Tower Hill,3,2
229,236,Sloane Square,South Kensington,3,2
229,273,Sloane Square,Victoria,3,2
248,273,St. James's Park,Victoria,3,2
248,285,St. James's Park,Westminster,3,2
3,263,Aldgate East,Tower Hill,4,2
3,295,Aldgate East,Whitechapel,4,2
15,78,Barking,East Ham,4,4
15,269,Barking,Upney,4,2
17,110,Barons Court,Hammersmith,4,1
17,293,Barons Court,West Kensington,4,2
18,186,Bayswater,Notting Hill Gate,4,2
18,193,Bayswater,Paddington,4,2
21,67,Becontree,Dagenham Heathway,4,3
21,269,Becontree,Upney,4,2
25,161,Blackfriars,Mansion House,4,1
25,255,Blackfriars,Temple,4,2
33,36,Bow Road,Bromley-By-Bow,4,2
33,164,Bow Road,Mile End,4,1
36,289,Bromley-By-Bow,West Ham,4,2
44,161,Cannon Street,Mansion House,4,1
44,166,Cannon Street,Monument,4,2
