from_naptan,to_naptan,from_station,to_station,line,direction,line_direction,platform_direction
940GZZLUHRC,940GZZLUHR5,"Heathrow Terminals 1,2,3",Heathrow Terminal 5,Piccadilly,Inbound,WB,WB
940GZZLUHRC,940GZZLUHNX,"Heathrow Terminals 1,2,3",Hatton Cross,Piccadilly,Outbound,EB,EB
940GZZLUACT,940GZZLUSEA,Acton Town,South Ealing,Piccadilly,Inbound,WB,WB
940GZZLUACT,940GZZLUECM,Acton Town,Ealing Common,Piccadilly,Inbound,WB,WB
940GZZLUACT,940GZZLUTNG,Acton Town,Turnham Green,Piccadilly,Outbound,EB,EB
940GZZLUACT,940GZZLUECM,Acton Town,Ealing Common,District,Inbound,WB,WB
940GZZLUACT,940GZZLUCWP,Acton Town,Chiswick Park,District,Outbound,EB,EB
940GZZLUALD,940GZZLULVT,Aldgate,Liverpool Street,Metropolitan,Inbound,NB,NB
940GZZLUALD,940GZZLUTWH,Aldgate,Tower Hill,Circle,Outbound,OR,SB
940GZZLUALD,940GZZLULVT,Aldgate,Liverpool Street,Circle,Inbound,IR,NB
940GZZLUADE,940GZZLUTWH,Aldgate East,Tower Hill,District,Inbound,WB,WB
940GZZLUADE,940GZZLUWPL,Aldgate East,Whitechapel,District,Outbound,EB,EB
940GZZLUADE,940GZZLUWPL,Aldgate East,Whitechapel,Hammersmith & City,Outbound,EB,EB
940GZZLUADE,940GZZLULVT,Aldgate East,Liverpool Street,Hammersmith & City,Inbound,WB,WB
940GZZLUALP,940GZZLUSUT,Alperton,Sudbury Town,Piccadilly,Inbound,WB,WB
940GZZLUALP,940GZZLUPKR,Alperton,Park Royal,Piccadilly,Outbound,EB,EB
940GZZLUAMS,940GZZLUCAL,Amersham,Chalfont & Latimer,Metropolitan,Outbound,SB,SB
940GZZLUAGL,940GZZLUKSX,Angel,King's Cross St Pancras,Northern,Outbound,NB,NB
940GZZLUAGL,940GZZLUODS,Angel,Old Street,Northern,Inbound,SB,SB
940GZZLUACY,940GZZLUHGT,Archway,Highgate,Northern,Outbound,NB,NB
940GZZLUACY,940GZZLUTFP,Archway,Tufnell Park,Northern,Inbound,SB,SB
940GZZLUASG,940GZZLUBDS,Arnos Grove,Bounds Green,Piccadilly,Inbound,WB,WB
940GZZLUASG,940GZZLUSGT,Arnos Grove,Southgate,Piccadilly,Outbound,EB,EB
940GZZLUASL,940GZZLUHWY,Arsenal,Holloway Road,Piccadilly,Inbound,WB,WB
940GZZLUASL,940GZZLUFPK,Arsenal,Finsbury Park,Piccadilly,Outbound,EB,EB
940GZZLUBST,940GZZLURGP,Baker Street,Regent's Park,Bakerloo,Inbound,SB,SB
940GZZLUBST,940GZZLUMYB,Baker Street,Marylebone,Bakerloo,Outbound,NB,NB
940GZZLUBST,940GZZLUBND,Baker Street,Bond Street,Jubilee,Outbound,EB,SB
940GZZLUBST,940GZZLUSJW,Baker Street,St John's Wood,Jubilee,Inbound,WB,NB
940GZZLUBST,940GZZLUGPS,Baker Street,Great Portland Street,Metropolitan,Outbound,SB,SB
940GZZLUBST,940GZZLUFYR,Baker Street,Finchley Road,Metropolitan,Inbound,NB,NB
940GZZLUBST,940GZZLUGPS,Baker Street,Great Portland Street,Hammersmith & City,Outbound,EB,EB
940GZZLUBST,940GZZLUERC,Baker Street,Edgware Road,Hammersmith & City,Inbound,WB,WB
940GZZLUBST,940GZZLUGPS,Baker Street,Great Portland Street,Circle,Outbound,OR,EB
940GZZLUBST,940GZZLUERC,Baker Street,Edgware Road,Circle,Inbound,IR,WB
940GZZLUBLM,940GZZLUCPS,Balham,Clapham South,Northern,Outbound,NB,NB
940GZZLUBLM,940GZZLUTBC,Balham,Tooting Bec,Northern,Inbound,SB,SB
940GZZLUBNK,940GZZLUSPU,Bank,St Paul's,Central,Inbound,WB,WB
940GZZLUBNK,940GZZLULVT,Bank,Liverpool Street,Central,Outbound,EB,EB
940GZZLUBNK,940GZZLUMGT,Bank,Moorgate,Northern,Outbound,NB,NB
940GZZLUBNK,940GZZLULNB,Bank,London Bridge,Northern,Inbound,SB,SB
940GZZLUBNK,940GZZLUWLO,Bank,Waterloo,Waterloo & City,Inbound,WB,WB
940GZZLUBBN,940GZZLUMGT,Barbican,Moorgate,Metropolitan,Outbound,SB,EB
940GZZLUBBN,940GZZLUFCN,Barbican,Farringdon,Metropolitan,Inbound,NB,WB
940GZZLUBBN,940GZZLUMGT,Barbican,Moorgate,Hammersmith & City,Outbound,EB,EB
940GZZLUBBN,940GZZLUFCN,Barbican,Farringdon,Hammersmith & City,Inbound,WB,WB
940GZZLUBBN,940GZZLUMGT,Barbican,Moorgate,Circle,Outbound,OR,EB
940GZZLUBBN,940GZZLUFCN,Barbican,Farringdon,Circle,Inbound,IR,WB
940GZZLUBKG,940GZZLUEHM,Barking,East Ham,District,Inbound,WB,WB
940GZZLUBKG,940GZZLUUPY,Barking,Upney,District,Outbound,EB,EB
940GZZLUBKG,940GZZLUEHM,Barking,East Ham,Hammersmith & City,Inbound,WB,WB
940GZZLUBKE,940GZZLUNBP,Barkingside,Newbury Park,Central,Inbound,WB,WB
940GZZLUBKE,940GZZLUFLP,Barkingside,Fairlop,Central,Outbound,EB,EB
940GZZLUBSC,940GZZLUHSD,Barons Court,Hammersmith,Piccadilly,Inbound,WB,WB
940GZZLUBSC,940GZZLUECT,Barons Court,Earl's Court,Piccadilly,Outbound,EB,EB
940GZZLUBSC,940GZZLUHSD,Barons Court,Hammersmith,District,Inbound,WB,WB
