node,nlc,naptan,node_type,station,farezones,wifi,bluebadgecarparking,taxiranksoutsidestation,areaname,areaid,level,latitude,longitude,station_entrance_exit,line,line_direction,platform_type,platform_direction
8323,500,940GZZLUACT,Platform,Acton Town,3,TRUE,FALSE,FALSE,A-GUN,6,0,51.50301,-0.28042,,District,EB,LU Mult Lines,EB
8324,500,940GZZLUACT,Platform,Acton Town,3,TRUE,FALSE,FALSE,A-GUN,6,0,51.50301,-0.28042,,District,WB,LU Mult Lines,WB
8318,500,940GZZLUACT,Exit,Acton Town,3,TRUE,FALSE,FALSE,A-GUN,6,0,51.50301,-0.28042,,,,,
8316,500,940GZZLUACT,Entrance,Acton Town,3,TRUE,FALSE,FALSE,A-GUN,6,0,51.50301,-0.28042,,,,,
8321,500,940GZZLUACT,Platform,Acton Town,3,TRUE,FALSE,FALSE,A-GUN,6,0,51.50301,-0.28042,,Piccadilly,EB,LU Mult Lines,EB
8322,500,940GZZLUACT,Platform,Acton Town,3,TRUE,FALSE,FALSE,A-GUN,6,0,51.50301,-0.28042,,Piccadilly,WB,LU Mult Lines,WB
8320,500,940GZZLUACT,Platform,Acton Town,3,TRUE,FALSE,FALSE,A-GUN,6,0,51.50301,-0.28042,,Piccadilly,WB,LU Mult Lines,WB
7501,502,940GZZLUALD,Platform,Aldgate,1,TRUE,FALSE,FALSE,ALDGA,6,0,51.51405,-0.07528,,Circle,IR,LU 1 Line,NB
7502,502,940GZZLUALD,Platform,Aldgate,1,TRUE,FALSE,FALSE,ALDGA,6,0,51.51405,-0.07528,,Circle,OR,LU 1 Line,SB
4102,502,940GZZLUALD,Exit,Aldgate,1,TRUE,FALSE,FALSE,ALDGA,6,0,51.51405,-0.07528,,,,,
8595,502,940GZZLUALD,Platform,Aldgate,1,TRUE,FALSE,FALSE,ALDGA,6,0,51.51405,-0.07528,,Metropolitan,SB,LU 1 Line,SB
7503,502,940GZZLUALD,Platform,Aldgate,1,TRUE,FALSE,FALSE,ALDGA,6,0,51.51405,-0.07528,,Metropolitan,NB,LU 1 Line,NB
1,502,940GZZLUALD,Entrance,Aldgate,1,TRUE,FALSE,FALSE,ALDGA,6,0,51.51405,-0.07528,,,,,
8387,503,940GZZLUADE,Platform,Aldgate East,1,TRUE,FALSE,FALSE,A-W/C,4,0,51.5153,-0.07208,,District,EB,LU Mult Lines,EB
8388,503,940GZZLUADE,Platform,Aldgate East,1,TRUE,FALSE,FALSE,A-W/C,4,0,51.5153,-0.07208,,District,WB,LU Mult Lines,WB
8382,503,940GZZLUADE,Entrance,Aldgate East,1,TRUE,FALSE,FALSE,A-W/C,4,0,51.5153,-0.07208,East Ticket Hall,,,,
8384,503,940GZZLUADE,Exit,Aldgate East,1,TRUE,FALSE,FALSE,A-W/C,4,0,51.5153,-0.07208,,,,,
8385,503,940GZZLUADE,Platform,Aldgate East,1,TRUE,FALSE,FALSE,A-W/C,4,0,51.5153,-0.07208,,Hammersmith & City,EB,LU Mult Lines,EB
8386,503,940GZZLUADE,Platform,Aldgate East,1,TRUE,FALSE,FALSE,A-W/C,4,0,51.5153,-0.07208,,Hammersmith & City,WB,LU Mult Lines,WB
8383,503,940GZZLUADE,Entrance,Aldgate East,1,TRUE,FALSE,FALSE,A-W/C,4,0,51.5153,-0.07208,West Ticket Hall,,,,
7961,505,940GZZLUALP,Platform,Alperton,4,TRUE,FALSE,FALSE,A-EAL,4,0,51.54063,-0.29913,,Piccadilly,EB,LU 1 Line,EB
4103,505,940GZZLUALP,Exit,Alperton,4,TRUE,FALSE,FALSE,A-EAL,4,0,51.54063,-0.29913,,,,,
