unique_id,station_unique_id,line,mode,platform_number,platform_naptan_code,cardinal_direction,friendly_name,is_customer_facing,has_service_interchange,has_step_free_route_information,direction_towards,designated_level_access_point,level_access_by_manual_ramp,additional_accessibility_information
HUBABW-PlatD-WB-thameslink,HUBABW,thameslink,nationalRail,D,,Eastbound,Eastbound Platform D,TRUE,FALSE,TRUE,,FALSE,TRUE,
HUBABW-PlatC-EB-thameslink,HUBABW,thameslink,nationalRail,C,,Westbound,Westbound Platform C,TRUE,FALSE,TRUE,,FALSE,TRUE,
HUBABW-PlatB-WB-elizabeth,HUBABW,elizabeth,elizabeth-line,B,,Westbound,Westbound Platform B,TRUE,FALSE,TRUE,,TRUE,TRUE,
HUBABW-PlatA-WB-elizabeth,HUBABW,elizabeth,elizabeth-line,A,,Westbound,Westbound Platform A,TRUE,FALSE,TRUE,,TRUE,TRUE,
910GACTNCTL-Plat01-WB-london-overground,910GACTNCTL,london-overground,overground,1,,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,Richmond,FALSE,TRUE,Step-free platform interchange requires a 50m journey via street. Use East Churchfield Road entrance for westbound and Churchfield Road for eastbound
910GACTNCTL-Plat02-EB-london-overground,910GACTNCTL,london-overground,overground,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,Stratford,FALSE,TRUE,
910GACTONML-Plat03-WB-elizabeth,910GACTONML,elizabeth,elizabeth-line,3,,Westbound,Westbound Platform 3,TRUE,FALSE,TRUE,,TRUE,FALSE,
910GACTONML-Plat04-EB-elizabeth,910GACTONML,elizabeth,elizabeth-line,4,,Eastbound,Eastbound Platform 4,TRUE,FALSE,TRUE,,TRUE,FALSE,
910GANERLEY-Plat01-NB-london-overground,910GANERLEY,london-overground,overground,1,,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,Dalston Junction,FALSE,TRUE,
910GANERLEY-Plat02-SB-london-overground,910GANERLEY,london-overground,overground,2,,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,West Croydon,FALSE,TRUE,
910GBCKNHMH-Plat01-NB-thameslink,910GBCKNHMH,thameslink,nationalRail,1,,Northbound,Northbound Platform 1,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBCKNHMH-Plat02-SB-thameslink,910GBCKNHMH,thameslink,nationalRail,2,,Southbound,Southbound Platform 2,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBELNGHM-Plat01-NB-thameslink,910GBELNGHM,thameslink,nationalRail,1,,Northbound,Northbound Platform 1,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBELNGHM-Plat02-SB-thameslink,910GBELNGHM,thameslink,nationalRail,2,,Southbound,Southbound Platform 2,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBHILLPK-Plat01-SB-london-overground,910GBHILLPK,london-overground,overground,1,,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,TRUE,Use the St Mark's Road entrance for southbound platform. Step-free platform interchange requires a 290m journey via street
910GBHILLPK-Plat02-NB-london-overground,910GBHILLPK,london-overground,overground,2,,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,TRUE,Use the Queen Anne's Place entrance for northbound platform. Step-free platform interchange requires a 290m journey via street
910GBICKLEY-Plat01-NB-thameslink,910GBICKLEY,thameslink,nationalRail,1,,Northbound,Northbound Platform 1,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBICKLEY-Plat02-SB-thameslink,910GBICKLEY,thameslink,nationalRail,2,,Southbound,Southbound Platform 2,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBNHAM-Plat01-WB-elizabeth,910GBNHAM,elizabeth,elizabeth-line,1,,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,Reading,FALSE,TRUE,
910GBNHAM-Plat02-EB-elizabeth,910GBNHAM,elizabeth,elizabeth-line,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,Paddington Station,FALSE,TRUE,
910GBRBYPK-Plat01-WB-london-overground,910GBRBYPK,london-overground,overground,1,,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GBRBYPK-Plat02-EB-london-overground,910GBRBYPK,london-overground,overground,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GBRBY-Plat01-WB-london-overground,910GBRBY,london-overground,overground,1,,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GBRBY-Plat02-EB-london-overground,910GBRBY,london-overground,overground,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GBROCKLY-Plat01-NB-london-overground,910GBROCKLY,london-overground,overground,1,,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,Dalston Junction and Highbury & Islington,FALSE,TRUE,Step-free platform interchange requires a 500m journey via street
910GBROCKLY-Plat02-SB-london-overground,910GBROCKLY,london-overground,overground,2,,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,Crystal Palace and West Croydon,FALSE,TRUE,Step-free platform interchange requires a 500m journey via street
910GBROMLYS-Plat01-NB-thameslink,910GBROMLYS,thameslink,nationalRail,1,,Northbound,Northbound Platform 1,TRUE,FALSE,TRUE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBROMLYS-Plat02-SB-thameslink,910GBROMLYS,thameslink,nationalRail,2,,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBROMLYS-Plat03-NB-thameslink,910GBROMLYS,thameslink,nationalRail,3,,Northbound,Northbound,TRUE,FALSE,TRUE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBROMLYS-Plat04-SB-thameslink,910GBROMLYS,thameslink,nationalRail,4,,Southbound,Southbound,TRUE,FALSE,TRUE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GBRTWOOD-Plat01-WB-elizabeth,910GBRTWOOD,elizabeth,elizabeth-line,1,,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,Stratford,FALSE,TRUE,
910GBRTWOOD-Plat02-EB-elizabeth,910GBRTWOOD,elizabeth,elizabeth-line,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,Shenfield,FALSE,TRUE,
910GBRTWOOD-Plat03-WB-elizabeth,910GBRTWOOD,elizabeth,elizabeth-line,3,,Westbound,Westbound Platform 3,TRUE,FALSE,TRUE,Stratford,FALSE,TRUE,
910GBRTWOOD-Plat04-EB-elizabeth,910GBRTWOOD,elizabeth,elizabeth-line,4,,Eastbound,Eastbound Platform 4,TRUE,FALSE,TRUE,Shenfield,FALSE,TRUE,
910GBRUCGRV-Plat01-SB-london-overground,910GBRUCGRV,london-overground,overground,1,,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GBRUCGRV-Plat02-NB-london-overground,910GBRUCGRV,london-overground,overground,2,,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GBTHNLGR-Plat01-WB-london-overground,910GBTHNLGR,london-overground,overground,1,,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GBTHNLGR-Plat02-EB-london-overground,910GBTHNLGR,london-overground,overground,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GCAMHTH-Plat01-SB-london-overground,910GCAMHTH,london-overground,overground,1,,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GCAMHTH-Plat02-NB-london-overground,910GCAMHTH,london-overground,overground,2,,Northbound,Northbound Platform 2,TRUE,FALSE,TRUE,,FALSE,FALSE,
910GCATFORD-Plat01-NB-thameslink,910GCATFORD,thameslink,nationalRail,1,,Northbound,Northbound Platform 1,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCATFORD-Plat02-SB-thameslink,910GCATFORD,thameslink,nationalRail,2,,Southbound,Southbound Platform 2,TRUE,FALSE,FALSE,,FALSE,FALSE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCFPK-Plat01-NB-thameslink,910GCFPK,thameslink,nationalRail,1,,Northbound,Northbound Platform 1,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCFPK-Plat02-SB-thameslink,910GCFPK,thameslink,nationalRail,2,,Southbound,Southbound Platform 2,TRUE,FALSE,FALSE,,FALSE,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk"
910GCHDWLHT-Plat01-WB-elizabeth,910GCHDWLHT,elizabeth,elizabeth-line,1,,Westbound,Westbound Platform 1,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
910GCHDWLHT-Plat02-EB-elizabeth,910GCHDWLHT,elizabeth,elizabeth-line,2,,Eastbound,Eastbound Platform 2,TRUE,FALSE,TRUE,Shenfield,FALSE,TRUE,
910GCHDWLHT-Plat03-WB-elizabeth,910GCHDWLHT,elizabeth,elizabeth-line,3,,Westbound,Westbound Platform 3,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
910GCHDWLHT-Plat04-EB-elizabeth,910GCHDWLHT,elizabeth,elizabeth-line,4,,Eastbound,Eastbound Platform 4,TRUE,FALSE,TRUE,Shenfield,FALSE,TRUE,
910GCHESHNT-Plat03-SB-london-overground,910GCHESHNT,london-overground,overground,3,,Southbound,Southbound Platform 3,TRUE,FALSE,TRUE,Edmonton Green,FALSE,TRUE,Step-free platform interchange requires a 70m journey by street
910GCHINGFD-Plat01-SB-london-overground,910GCHINGFD,london-overground,overground,1,,Southbound,Southbound Platform 1,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
910GCHINGFD-Plat02-SB-london-overground,910GCHINGFD,london-overground,overground,2,,Southbound,Southbound Platform 2,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
910GCHINGFD-Plat03-SB-london-overground,910GCHINGFD,london-overground,overground,3,,Southbound,Southbound Platform 3,TRUE,FALSE,TRUE,Liverpool Street,FALSE,TRUE,
