mode,nlc,asc,station,coverage,year,day,dir,total,early,am_peak,inter_peak,pm_peak,evening,late
LU,500,ACTu,Acton Town,Station entry / exit,2017-01-01,MTF,IN,9531.0,608.0,3287.0,2705.0,2029.0,655.0,247.0
LU,502,ALDu,Aldgate,Station entry / exit,2017-01-01,MTF,IN,15080.0,252.0,2774.0,3078.0,6931.0,1596.0,449.0
LU,503,ALEu,Aldgate East,Station entry / exit,2017-01-01,MTF,IN,22327.0,290.0,3225.0,6301.0,8096.0,3104.0,1311.0
LU,505,ALPu,Alperton,Station entry / exit,2017-01-01,MTF,IN,4495.0,558.0,1618.0,1073.0,831.0,313.0,102.0
LU,506,AMEu,Amersham,Station entry / exit,2017-01-01,MTF,IN,3848.0,538.0,1952.0,701.0,534.0,92.0,31.0
LU,507,ANGu,Angel,Station entry / exit,2017-01-01,MTF,IN,30413.0,364.0,4547.0,7750.0,10008.0,4717.0,3027.0
LU,508,ARCu,Archway,Station entry / exit,2017-01-01,MTF,IN,15336.0,611.0,6064.0,4270.0,2941.0,1053.0,397.0
LU,509,AGRu,Arnos Grove,Station entry / exit,2017-01-01,MTF,IN,7443.0,693.0,3125.0,1902.0,1226.0,394.0,103.0
LU,510,ARLu,Arsenal,Station entry / exit,2017-01-01,MTF,IN,4622.0,175.0,2306.0,1129.0,692.0,230.0,90.0
LU,511,BSTu,Baker Street,Station entry / exit,2017-01-01,MTF,IN,47116.0,675.0,7850.0,13697.0,16127.0,6364.0,2403.0
LU,512,BALu,Balham LU,Station entry / exit,2017-01-01,MTF,IN,22562.0,1307.0,10886.0,4607.0,3572.0,1552.0,638.0
LU,513,BNKu,Bank and Monument,Station entry / exit,2017-01-01,MTF,IN,112547.0,1056.0,10991.0,23987.0,52375.0,18517.0,5621.0
LU,501,BARu,Barbican,Station entry / exit,2017-01-01,MTF,IN,20680.0,141.0,1505.0,5308.0,9148.0,3185.0,1393.0
LU,514,BKGu,Barking,Station entry / exit,2017-01-01,MTF,IN,29410.0,5097.0,10037.0,7003.0,4937.0,1858.0,478.0
LU,515,BDEu,Barkingside,Station entry / exit,2017-01-01,MTF,IN,2723.0,523.0,1291.0,506.0,303.0,79.0,21.0
LU,516,BCTu,Barons Court,Station entry / exit,2017-01-01,MTF,IN,12188.0,327.0,4124.0,3250.0,3321.0,921.0,245.0
LU,517,BAYu,Bayswater,Station entry / exit,2017-01-01,MTF,IN,6946.0,141.0,1641.0,2441.0,1395.0,859.0,469.0
LU,518,BECu,Becontree,Station entry / exit,2017-01-01,MTF,IN,6034.0,1311.0,2408.0,1323.0,681.0,256.0,55.0
LU,519,BPKu,Belsize Park,Station entry / exit,2017-01-01,MTF,IN,10868.0,227.0,3009.0,3248.0,3038.0,1038.0,308.0
