Node,Station,Node_Type,Line_Direction,Platform_Direction,Line,Platform_Type,Destination,Station_Entrance_Exit,NLC,NAPTAN,Deprecated,Year_of_addition
8323,Acton Town,Platform,EB,EB,District,LU Mult Lines,,,500,940GZZLUACT,FALSE,
8324,Acton Town,Platform,WB,WB,District,LU Mult Lines,,,500,940GZZLUACT,FALSE,
8318,Acton Town,Exit,,,,,,,500,940GZZLUACT,FALSE,
8316,Acton Town,Entrance,,,,,,,500,940GZZLUACT,FALSE,
8321,Acton Town,Platform,EB,EB,Piccadilly,LU Mult Lines,,,500,940GZZLUACT,FALSE,
8322,Acton Town,Platform,WB,WB,Piccadilly,LU Mult Lines,Heathrow,,500,940GZZLUACT,FALSE,
8320,Acton Town,Platform,WB,WB,Piccadilly,LU Mult Lines,Uxbridge,,500,940GZZLUACT,FALSE,
7501,Aldgate,Platform,IR,NB,Circle,LU 1 Line,,,502,940GZZLUALD,FALSE,
7502,Aldgate,Platform,OR,SB,Circle,LU 1 Line,,,502,940GZZLUALD,FALSE,
4102,Aldgate,Exit,,,,,,,502,940GZZLUALD,FALSE,
8595,Aldgate,Platform,SB,SB,Metropolitan,LU 1 Line,,,502,940GZZLUALD,FALSE,
7503,Aldgate,Platform,NB,NB,Metropolitan,LU 1 Line,,,502,940GZZLUALD,FALSE,
1,Aldgate,Entrance,,,,,,,502,940GZZLUALD,FALSE,
8387,Aldgate East,Platform,EB,EB,District,LU Mult Lines,,,503,940GZZLUADE,FALSE,
8388,Aldgate East,Platform,WB,WB,District,LU Mult Lines,,,503,940GZZLUADE,FALSE,
8382,Aldgate East,Entrance,,,,,,East Ticket Hall,503,940GZZLUADE,FALSE,
8384,Aldgate East,Exit,,,,,,,503,940GZZLUADE,FALSE,
8385,Aldgate East,Platform,EB,EB,Hammersmith & City,LU Mult Lines,,,503,940GZZLUADE,FALSE,
8386,Aldgate East,Platform,WB,WB,Hammersmith & City,LU Mult Lines,,,503,940GZZLUADE,FALSE,
8383,Aldgate East,Entrance,,,,,,West Ticket Hall,503,940GZZLUADE,FALSE,
7961,Alperton,Platform,EB,EB,Piccadilly,LU 1 Line,,,505,940GZZLUALP,FALSE,
4103,Alperton,Exit,,,,,,,505,940GZZLUALP,FALSE,
212,Alperton,Entrance,,,,,,,505,940GZZLUALP,FALSE,
7962,Alperton,Platform,WB,WB,Piccadilly,LU 1 Line,,,505,940GZZLUALP,FALSE,
4104,Amersham,Exit,,,,,,,506,940GZZLUAMS,FALSE,
8592,Amersham,Platform,NB,NB,Metropolitan,LU & NR,,,506,940GZZLUAMS,FALSE,
7584,Amersham,Platform,SB,SB,Metropolitan,LU & NR,,,506,940GZZLUAMS,FALSE,
4400,Amersham,Platform,NB,NB,NR,LU & NR,,,506,940GZZLUAMS,FALSE,
4401,Amersham,Platform,SB,SB,NR,LU & NR,,,506,940GZZLUAMS,FALSE,
38,Amersham,Entrance,,,,,,,506,940GZZLUAMS,FALSE,
4105,Angel,Exit,,,,,,,507,940GZZLUAGL,FALSE,
7750,Angel,Platform,NB,NB,Northern,LU 1 Line,,,507,940GZZLUAGL,FALSE,
7751,Angel,Platform,SB,SB,Northern,LU 1 Line,,,507,940GZZLUAGL,FALSE,
120,Angel,Entrance,,,,,,,507,940GZZLUAGL,FALSE,
4106,Archway,Exit,,,,,,,508,940GZZLUACY,FALSE,
7738,Archway,Platform,NB,NB,Northern,LU 1 Line,,,508,940GZZLUACY,FALSE,
7739,Archway,Platform,SB,SB,Northern,LU 1 Line,,,508,940GZZLUACY,FALSE,
108,Archway,Entrance,,,,,,,508,940GZZLUACY,FALSE,
7929,Arnos Grove,Platform,EB,EB,Piccadilly,LU 1 Line,,,509,940GZZLUASG,FALSE,
4107,Arnos Grove,Exit,,,,,,,509,940GZZLUASG,FALSE,
195,Arnos Grove,Entrance,,,,,,,509,940GZZLUASG,FALSE,
7930,Arnos Grove,Platform,WB,WB,Piccadilly,LU 1 Line,,,509,940GZZLUASG,FALSE,
7939,Arsenal,Platform,EB,EB,Piccadilly,LU 1 Line,,,510,940GZZLUASL,FALSE,
4108,Arsenal,Exit,,,,,,,510,940GZZLUASL,FALSE,
201,Arsenal,Entrance,,,,,,,510,940GZZLUASL,FALSE,
7940,Arsenal,Platform,WB,WB,Piccadilly,LU 1 Line,,,510,940GZZLUASL,FALSE,
8234,Baker Street,Platform,NB,NB,Bakerloo,LU 1 Line,,,511,940GZZLUBST,FALSE,
8235,Baker Street,Platform,SB,SB,Bakerloo,LU 1 Line,,,511,940GZZLUBST,FALSE,
8231,Baker Street,Entrance,,,,,,Bakerloo/Jubilee Entrance,511,940GZZLUBST,FALSE,
8230,Baker Street,Entrance,,,,,,Chiltern Street Entrance,511,940GZZLUBST,FALSE,
8238,Baker Street,Platform,IR,WB,Circle,LU Mult Lines,,,511,940GZZLUBST,FALSE,
8239,Baker Street,Platform,OR,EB,Circle,LU Mult Lines,,,511,940GZZLUBST,FALSE,
8233,Baker Street,Exit,,,,,,,511,940GZZLUBST,FALSE,
8240,Baker Street,Platform,EB,EB,Hammersmith & City,LU Mult Lines,,,511,940GZZLUBST,FALSE,
8241,Baker Street,Platform,WB,WB,Hammersmith & City,LU Mult Lines,,,511,940GZZLUBST,FALSE,
8236,Baker Street,Platform,WB,NB,Jubilee,LU 1 Line,,,511,940GZZLUBST,FALSE,
8237,Baker Street,Platform,EB,SB,Jubilee,LU 1 Line,,,511,940GZZLUBST,FALSE,
8243,Baker Street,Platform,NB,NB,Metropolitan,LU 1 Line,,,511,940GZZLUBST,FALSE,
8242,Baker Street,Platform,SB,SB,Metropolitan,LU 1 Line,,,511,940GZZLUBST,FALSE,
8232,Baker Street,Entrance,,,,,,Metropolitan/Circle/H&C Entrance,511,940GZZLUBST,FALSE,
4109,Balham,Exit,,,,,,,512,940GZZLUBLM,FALSE,
132,Balham,Entrance,,,,,,,512,940GZZLUBLM,FALSE,
7773,Balham,Platform,NB,NB,Northern,LU 1 Line,,,512,940GZZLUBLM,FALSE,
7774,Balham,Platform,SB,SB,Northern,LU 1 Line,,,512,940GZZLUBLM,FALSE,
8438,Bank,Platform,EB,EB,Central,LU 1 Line,,,513,940GZZLUBNK,FALSE,
8433,Bank,Entrance,,,,,,Central Line Ticket Hall,513,940GZZLUBNK,FALSE,
8439,Bank,Platform,WB,WB,Central,LU 1 Line,,,513,940GZZLUBNK,FALSE,
8789,Bank,Platform,EB,EB,DLR,DLR Only,,,513,940GZZLUBNK,FALSE,
4560,Bank,Platform,WB,WB,DLR,DLR Only,,,513,940GZZLUBNK,FALSE,
8435,Bank,Exit,,,,,,,513,940GZZLUBNK,FALSE,
8434,Bank,Entrance,,,,,,Northern Line Ticket Hall,513,940GZZLUBNK,FALSE,
8436,Bank,Platform,NB,NB,Northern,LU 1 Line,,,513,940GZZLUBNK,FALSE,
8437,Bank,Platform,SB,SB,Northern,LU 1 Line,,,513,940GZZLUBNK,FALSE,
8440,Bank,Platform,EB,EB,Waterloo & City,LU 1 Line,,,513,940GZZLUBNK,FALSE,
8609,Bank,Platform,WB,WB,Waterloo & City,LU 1 Line,,,513,940GZZLUBNK,FALSE,
8840,Bank,Entrance,,,,,,Waterloo & City Line Ticket Hall,513,940GZZLUBNK,FALSE,
7504,Barbican,Platform,IR,WB,Circle,LU Mult Lines,,,501,940GZZLUBBN,FALSE,
7505,Barbican,Platform,OR,EB,Circle,LU Mult Lines,,,501,940GZZLUBBN,FALSE,
4101,Barbican,Exit,,,,,,,501,940GZZLUBBN,FALSE,
7508,Barbican,Platform,EB,EB,Hammersmith & City,LU Mult Lines,,,501,940GZZLUBBN,FALSE,
7509,Barbican,Platform,WB,WB,Hammersmith & City,LU Mult Lines,,,501,940GZZLUBBN,FALSE,
7506,Barbican,Platform,NB,WB,Metropolitan,LU Mult Lines,,,501,940GZZLUBBN,FALSE,
7507,Barbican,Platform,SB,EB,Metropolitan,LU Mult Lines,,,501,940GZZLUBBN,FALSE,
4,Barbican,Entrance,,,,,,,501,940GZZLUBBN,FALSE,
7806,Barking,Platform,EB,EB,District,LU Mult Lines,,,514,940GZZLUBKG,FALSE,
7807,Barking,Platform,WB,WB,District,LU Mult Lines,,,514,940GZZLUBKG,FALSE,
4110,Barking,Exit,,,,,,,514,940GZZLUBKG,FALSE,
8591,Barking,Platform,EB,EB,Hammersmith & City,LU Mult Lines,,,514,940GZZLUBKG,FALSE,
7808,Barking,Platform,WB,WB,Hammersmith & City,LU Mult Lines,,,514,940GZZLUBKG,FALSE,
8666,Barking,Platform,WB,WB,London Overground,LO Only,,,514,940GZZLUBKG,FALSE,
4403,Barking,Platform,Unknown,Unknown,NR,NR Only,,,514,940GZZLUBKG,FALSE,
4404,Barking,Platform,Unknown,Unknown,NR,NR Only,,,514,940GZZLUBKG,FALSE,
4405,Barking,Platform,Unknown,Unknown,NR,NR Only,,,514,940GZZLUBKG,FALSE,
4553,Barking,Platform,Unknown,Unknown,NR,NR Only,,,514,940GZZLUBKG,FALSE,
146,Barking,Entrance,,,,,,,514,940GZZLUBKG,FALSE,
8030,Barkingside,Platform,EB,EB,Central,LU 1 Line,,,515,940GZZLUBKE,FALSE,
4111,Barkingside,Exit,,,,,,,515,940GZZLUBKE,FALSE,
241,Barkingside,Entrance,,,,,,,515,940GZZLUBKE,FALSE,
8031,Barkingside,Platform,WB,WB,Central,LU 1 Line,,,515,940GZZLUBKE,FALSE,
8306,Barons Court,Platform,EB,EB,District,LU 1 Line,,,516,940GZZLUBSC,FALSE,
8307,Barons Court,Platform,WB,WB,District,LU 1 Line,,,516,940GZZLUBSC,FALSE,
4112,Barons Court,Exit,,,,,,,516,940GZZLUBSC,FALSE,
8304,Barons Court,Platform,EB,EB,Piccadilly,LU 1 Line,,,516,940GZZLUBSC,FALSE,
